,Text
1369,"I love this product.  Pero is so satisfying and full bodied, richer than a cup of coffee with no caffeine.  I love that it contains chickory which is so good for the GI track, removes constipation and great for the liver.  A lovely drink that is so healthy and good for you.  I love starting my day with a hot cup of Pero.  Completely satisfying with milk and sweetner."
1370,"I have just ended a 2+ year custody battle. Needless to say I have anxiety & I'm set off at the slightest thing. Then this little miracle fell into my lap. I was prepared for disappointment- didn't happen! The anxiety & edginess I had become all too familiar with has vanished. This affect is achieved with your very 1st dose. I now feel calm, literally. I no longer feel agitated. I no longer bite peoples head off. AND to top it all off I am sleeping soundly through the night EVERY night. No waking up, no tossing & turning, just solid, sound sleep. Thank you FIRST Magazine for this reccommendation!"
1371,"So often the K-cup format brews up a weak cup of coffee, but not this one.  Plenty strong and great flavor. Love it.  (And sad that it is currently unavailable from Amazon!)"
1372,I lost over 125 pounds on Weight watchers and I ate one (or two) of these truffles most every day.  It's a nice little reward at the end of a day when you deserve a treat.  Less than a point for one!
1373,I did not care for this gum at all. There is much better gum available. It lost the flavor in just a few minutes.
1374,My 3-year old loves these!! It is nice to see her enjoying something she is allowed to eat since she was diagnosed with Celiac Disease in December. I can't keep enough of these in the house.
1375,"PROS - Wheat Thin Reduced Fat crackers taste great for a low fat cracker! We've tried other low fat brand crackers and think this one is the best low fat.<br /><br />CONS - This is not a con for the cracker, but for AMAZON. Ordered the pack of 6 with the Subscribe & Save special price. Received the crackers on 1/26/11... BUT, the Best Used/Expiration date on the crackers is 2/20/11, in just 24 days!! So they've been sitting in a warehouse for a long time.<br /><br />BOTTOM LINE - The crackers and price were very good; but beware of possible short expiration dates on food when ordering from Amazon, especially if it's multiple packs and you might not use them right away."
1376,"What you see in the picture is EXACTLY what you get. All the snacks are equivalent to what is in the picture, everything under them is packing peanuts and paper. Horrible disappointing."
1377,"Started mixing this in with my furry persons' regular commercial brand, hoping they wouldn't notice too much and still eat it. No problems there! They loved it from bite one, and now are at the point where their former dry food has been entirely phased out and they're just eating Indigo Moon as their dry food (I'd come across Indigo Moon at a local furry-person store).<br /><br />Within two weeks of starting to feed them Indigo Moon, both my cats' fur have become thicker, shinier, and softer with almost no shedding (whereas before, there had been plenty of shedding - even the dandruff problem with one of them has cleared up) and they also seem to have increased energy (both are five years old).<br /><br />Many dry foods promise ""100% nutrition"" results, but this one delivered even better than I'd hoped for. My cats look even more gorgeous and seem healthier. This is a keeper, especially at its price, which ran about ten dollars less than the other premium feline brands where I purchased it."
1378,"I was familiar with the Gloria Jean's Hazelnut K-Cups, but couple that with the ""subscribe and save"" option, and you have an outstanding combination!"
1379,"Not very sweet. Very bland, and in my opinion too expensive for the product. Flavorless, doesn't taste like you're having a treat but the amount of carbs is high."
1380,This looks like great dog food and the ingredients are good. Sadly my Cocker Spaniel does not care for it at all. She's been on it for 3 months and I'm going to try a new product as her itching is still bad and she leaves most of this in her bowl.
1381,"Of course, reviewing something for taste is about as subjective as it gets-- but I can only say that this wasn't my favorite. I normally use breadcrumbs and fry pork on the stove, but I liked giving baking a try. The flavor of the pork worked out just fine, but I wasn't crazy about the Shake 'N' Bake seasonings. I prefer my old breadcrumbs.<br /><br />You can just put the seasonings in a Ziploc bag and shake them on as suggested, or just put the seasonings into a dish and coat the pork that way. It's certainly simple enough either way, a healthier alternative to frying, and doesn't require a lot of clean-up. Three people ate this and all gave sort of a mild thumbs-up. I wouldn't eat it again, but I liked it enough to try the chicken flavor next."
1382,"For my father's 85th birthday, I wanted to delight him with his favorite dessert, pineapple upside down cake. He received instead chocolate duos. I will not order from this company again. They are unreliable."
1383,"My kids love these healthy snacks! No added chemicals and are made of healthy fruits. I freeze these and throw one in their lunchbox and by lunch time, they have a grape slushy!"
1384,"Absolutely tasty beverage.  The price is kind of high after shipping, but if you're a fan of the show, this is definitely a must."
1385,"For the flavor, I will give it 5 stars. No need to explain. The coffee is Irish Creme without alcohol. So nice....<br />However, the packaging is bad. I give it 0 stars.<br />So over all, I rated it 3 stars.<br />192 creamer cups are loose in the big brown box. After long way to our door, some creamers are leaking and made other creamer cups sticky. All 192 creamer cups came in with brown manufacturer box instead of the one showing on the Amazon product page (please refer to the pictures I shared). Besides, the shelf life should be 6 months according to the customer service from International delight, but I ordered on May 29, 2011. The package was received on June 3, 2011. However, the creamer Expired on 08/10/11. I only have 2 months to consume 192 creamers.<br />I guess it is why the price is good. Something needs to be sacrificed!"
1386,Yum!  Makes a great watermelon margarita like they serve at Long Horn Steak house.  Tastes like a watermelon Jolly Rancher.<br /><br />1/2 oz. Grenadine<br />4 oz. Sweet & Sour<br />1/2 oz. Monin Watermelon Syrup<br />1 oz. Don Julio<br />1 oz. Watermelon Smirnoff
1387,"Those of you who love black licorice or anise flavor - this is it! This tea is so flavorful and aromatic, it's intense. In my opinion, the addition of sweetener is not necessary! Good for your daily diet but remember this is not a wimpy tea, it's full bodied. And great for your digestive system. Love, Love, Love this tea :)"
1388,Could not find this product in stores or Jello web site.  Amazon had it so glad they did.  This puddig taste like no other and is the best!
1389,"I have an 18 month old who only has 4 teeth. Needless to say, she still eats a lot of pureed foods. She can eat cereal, which she usually has for breakfast with fruit, however she's gotten bored with it. I got her some of these Earth's Best Oatmeals, which adds some variety to her breakfasts. She seems to like it a lot. I heat it up for 20 seconds in the microwave to make it warm oatmeal. I like the fact that this oatmeal has a lot of iron in it, which is necessary for a growing toddler!!"
1390,"Love this tea.  Couldn't find it anywhere, and pregnant won't drink anything else.  Add a little honey and lemon."
1391,"PG Tips is by far my favorite tea. The taste lives up to its outstanding reviews in every way, but the fine grind of the loose tea was not what I expected. This is not what I would call loose tea; instead, it is tea dust. It makes for a cloudy, murky brew (looks like a mud puddle). I guess I could use paper filters, but for me the point of loose tea is that I can eliminate the need for the filter. Not only for environmental reasons, but because tea and coffee just taste better when brewed without paper filters. Against all odds, though, the tea still tastes great. Just a little hard to get past the aesthetics. oh well. I suppose there could very well be a good reason for the fine grind."
1392,"Very good cup of coffee.  Not as strong as some of the expresso or french roast brands which I also enjoy; so when you want something that has some body too it that's not that strong, then this is an excellent choice."
1393,my dogs love these-easy to break apart to tailor the size. they go to town eating these treats. this makes them very happy which makes my wife very happy which makes me...life is good.
1394,"We found this at BJ's before I started shopping on Amazon.  My wife and I were disappointed with it after having tried the Twinings in the sample pack that came with our brewer.  The Twinings is much smoother and balanced than the Bigelow.<br /><br />When I wrote this, Amazon was out of the Twinings and only one vendor was selling it at nearly double the normal price.<br /><br /><a href=""http://www.amazon.com/gp/product/B001EO5WZ4"">Twinings Earl Grey Tea K-Cups for Keurig Brewers, 25-Count Box (Pack of 2)</a>"
1395,This seems to be very good quality saffron. I have been cooking with saffron from the supper market for a few years now and I can tell this is definitely a lot<br />higher quality. I recommend it.
1396,"love, love, love it. Very fresh taste of chocolate on every kernal & extremly crunchy. I don't really taste the caramel though but the flavor is still so good I don't even care. You get 5 packages in each box and each package holds 2 large handfuls. If you hold it in your hand for more than a few seconds before putting it in your mouth the chocolate will start melting so put it in your mouth right away as you take it out of the package. I love popcorn and usually eat 3 to 4 popped quarts at a time so it's too expensive for me to buy but it sure was good......."
1397,"I bought this dog toy in the smaller size, with great anticipation of finally having something that my 1/2 Yorkie-1/2 Shih Tzu wouldn't chew up and destroy in one afternoon.  From that standpoint, I would say the toy was a success, because it actually took him about 24 hours to eat the ends out of the toy, nab the treat disk and be done with it.  &lt;sigh>  I'm still on the hunt for SOMETHING that Buddy can't destroy.  This, unfortunately, was not it."
1398,"I love this stuff and will soon start buying it from here--you can't beat the price.<br /><br />I add this to ""pre-chocolated"" milk, muahahaha.  This makes milk taste rich, but not to the extent where it becomes over-powering.<br /><br />You've got to love the malt in it, too."
1399,"These crackers are the best I've tried so far.  If I didn't have celiac's disease, I'd buy a non-gluten-free cracker, but am very pleased with the consistency (softer than others I've tasted) of this gluten free cracker and it doesn't have that ""peppery"" taste that most others have.  They're great in soup or with peanut butter or cheese as a snack."
1400,"This product is a celiac's dream!  Nana's no gluten cookies have by far the most consistent texture of any gluten free cookies that I have tried (including my own homemade).  They are hardly distinguishable from a wheat-based cookie.  They are extremely soft, and, accordingly, some flavors do tend to be a tad ""crumbly"", e.g. ginger.  Lemon is not crumbly."
1401,"I like simplicity when it comes to food and I bought these because they have less ingredients than a lot of its competitors. These taste good and are great for a quick fix! Also, Amazon has the best price around.<br /><br />For those of you looking for energy, energy here means calories, not a burst of energy. It's to replenish and keep you from crashing; it's not intended to make you feel like you are on speed!"
1402,"Best K-cup hot cocoa on the market, bar none. Would not be without it in the house, especially with the winter months coming."
1403,"I have been a vegetarian for 15 years and have a meat eating husband.  For years, I have been looking for a good ground beef substitute.  I finally found one.  This one had a good taste and texture when cooked.  My meat eating husband is even happy with it when I use it.  One of the things I love is that I use this to make meatballs, and they stay together.  In the past, they never stayed together.  This is a great product, and I'm happy I found it."
1404,"This is an awesome selection of decaf coffees!  I can't wait to try them all.  If you are looking for variety or a way to try the many different flavors of k cups, this is for you.  Will definitely purchase again."
1405,"All the candy was fresh.  The items packaging is a bit generic, but other than that it was fantastic trip down memory lane."
1406,"I thought this fish oil would be a great supplement for my cats after one of them began to overgroom and created bald patches on her stomach and legs. All four of my cats refused any type of food with this fish oil added. I tried for many days in many ways. Finally switched back from a newer dry food I thought would be better for them, back to their old dry food, which obviously had more oils in the ingredients. Bald cat is getting her fur back."
1407,"A wonderful surprise for the mouth. A gooey, crunchy, chocolately mix of a mess.  If you like your snacks over the top, then this is it.  I had these delivered to my job and offered some to a few co-workers, who raved and raved, and I quickly hid the canister in my drawer ...LOL ... salty, sweet, gooey, crunchy -- heaven!"
1408,WOW!!!I was excited to see that Amazon has Marge's Bakery Goods.<br />I have been getting  their breads from whole foods for a while now.<br />What a great gift and they are Vegan.<br />THEY ARE THE BEST!!!!!!
1409,"I love these cookies.  Can't find them in my home state, but I'm glad they're available through Amazon.com.  The cookies have a ginger-flavored muffin texture, and are covered by a thin layer of dark chocoate.  They're not too sweet, and are a lovely, rare treat."
1410,"liked the flavor and aroma of the coffee a lot! The only drawback is that it comes in a bag that has to be cut open, then needs to be put in a baggie of some sort to be kept fresh. A better design would be to ship the product in a resealable bag or container of some sort. The difference in price between this and the plastic pods makes it worthwhile."
1411,"Sorry, the flimsy bowls are terrible you cannot pick them up and are not easy to handle. My favorite was Orville Tender White in the bag, they should offer both, but it appears Orville has switched to bowls only which you cannot pass to another person. I regret that I have switched to Jolly Time White and Buttery, Crispy White and any other brand still offered in bags! :("
1412,"The tea was great. It was used by my husband and mom, and tasted by me :o) It goes great with fresh mint thrown in with the brew!"
1413,"I do like how these taste but there is too much dietary salt. I also found that after eating two, I began to get stomach knots."
1414,Awesome bars/have eaten these daily for several years/full of fruit like cranberries and raisins with pumpkin seeds/quick energy and protein really sustains you
1415,"This product was not HORRIBLE, but I feel cheated. It looked so good, and the price of $4.99 for a small jar suggested there were some great add-ins. NOT.<br /><br />The berry nut flavor is basically average-tasting crunchy peanut butter with some tough, dried cranberries thrown in. I was hoping the ""nut"" was a walnut, pecan, or almond (or all of the above!), but it's merely an unimpressive sliver of regular old peanut. After I got done picking the hard cranberries out of my teeth, I decided I would never by this flavor of overpriced, disappointing peanut-butter again."
1416,"I'm really disappointed in this tea.  It's got really, really strong tobacco and earthy (read: barnyard) flavors.  I've decided to use it as a filler with some other bulk tea I have . . . its the only way I can use this tea.<br /><br />I will not purchase this tea again, nor will I suggest it to anyone I like.  I'd rather shell out the few extra bucks for a better tasting keemun and drink it less often, than drink this stuff daily.  Insert ""Sad Trombone"" sound effect here."
1417,Good stuff. Hard to find in stores. Found my Strawberry Fluff while I was surffing Amazon.com. Not a bad price. The USE BY DATE on the jars were OCT.2013. Shipping was fast & my 4 JARS of fluff were packed well.
1418,"As a bachelor who frequently must grab a cup of joe at home and run, i was reluctant to waste coffee in my Braun drip machine, and disinclined to clean up after the French Press method.  A New York Times article convinced me that a Pod system would be the way to go, and i found the Philips Senseo machine to be the best at the consumer level.  Alas, the Douwe Egberts pods that come with are, um, IMHO, not good.<br /><br />A brief web search led me to Aloha Island's Senseo-style pods, and i ordered a box of their single serving espresso pods.  The package arrived swiftly, and the box of pods was swaddled in styro-peanuts:  nice touch!  i immediately placed a pair in the Senseo unit and let it do its thing.  Wow!  The quality of the coffee is, to date, unparalled.  Rich, smooth, and frothy, almost like a latte before the milk is added.  And i was surprised that the yield was about one ounce greater than with the DE pods.<br /><br />I'm a believer, an advocate, and a confirmed drinker and fan.  Thanks and Mahalo!"
1419,I'm not a huge tea fan but this is one of my favorites. I think the taste is very subtle and honey compliments it well. Next time I'll add some lemon slices or maybe an orange slice. Yummy!
1420,"This product is sometimes advertised as having no aspertame in it, which is true. But it still has an artificial sweetener in it - sucralose. So instead of Satan, you are getting the Devil here ... and they also let this product sail under a false flag, by putting ""Tea&Honey"" in BIG letters up front. So naturally, you might think that this is an actual healthy product, organic even. Just read the ingredients list and you will quickly recognize what it really is: sugared water with some flavors in it.<br /><br />A brave self-test revealed a strong artificial taste, root-canal-pain inducing sweetness, immediate scratching and itching in the back of my throat, chemical aftertaste - just totally and utterly horrible.<br />A burst of flavor, as the advertising claims? Rubbish.<br /><br />And something else happened to me, which was already described by other reviewers - as soon as I opened the package, a very fine dust emitted which immediately made me cough and gasp for air. I just hope, this stuff is just bad tasting and not toxic on top of it ...<br />Very rarely, I bemoan the  fact that Amazon makes you give at least one star at the review. For this product, I would like to have the opportunity to give no star at all ..."
1421,"I have used this product before and it is excellent.  Unfortunately, when this shipment arrived the seal on the item was broken and some of the product had already been squirted out of the container into the lid.  I can't use it and according to Amazon's policies (pressurized container) I can't return it.  I can't even request a replacement to be sent - very unimpressed with Amazon."
1422,"I like this coffee, its nice to drink it in the morning. It has medium body and full flavour. Goes great with raw sugar and splash of non fat milk."
1423,I was a bit disappointed in these.  They crumble very easily and have an unusual texture.  My son (6) does not like them.
1424,"Received my vanilla beans very quickly.  They arrived fresh, sealed well and exactly as we'd hoped."
1425,"...okay you know the rest /// you might pick up some BEAN-ZYME on amazon.com if you buy this much BEAN.  Ha ha... I did.  Great deal for ORGANIC and delivered right to my home.  I hate to cook - even if it means boiling beans so this is a real life saver.  I'm happy... the beans are deep dark black, firm and DELICIOUS.  Love the cans... no rush to use them.  Thanks for reading."
1426,"Since my sugar has been high, I have been trying to use sugar substitutes and this is what I use now for baking and cooking. Love Love my Stevia Packets.<br /><br />Ps: Along with managing my sugar intake, my sugar level was normal range yeah!"
1427,My daughter is 22 months old and can finish off a pouch in less than 30 seconds.  She just loves these!
1428,Yummy!  I have such a hard time finding the Ranch flavor in the local supermarket.  My product arrived quickly and in great shape!
1429,"I have two little power chewers (under 20 pounds each) who can tear through a regular rawhide roll in a couple of hours. After three days they each could only manage to eat about one fourth of a roll. These rolls are gigantic compared to the regular 10"" rolls I have been giving them. I had to cut them in half to make them easier for my dogs to handle. Usually, my dogs strip off large pieces of a rawhide roll but they couldn't do that with these rolls, the hide is too thick (it ranges from about 1/8"" to 1/4"" thick). Four of these rolls lasted for about a month with two small dogs chewing on them for about two hours every day."
1430,"My kids go through this apple juice like it's going out of style.  In fact I need to order more.  It's organic which is great and no sugar added, because fruit doesn't need help.  Definitely a must in our house."
1431,"This is one of my favorite sweeteners, along with Equal, as they don't leave a bad aftertaste like Sweet 'N' Low.  A lot of debate on its ""safety"", but unless something definitive comes out of a couple of well done research papers I'll keep using it."
1432,"This stuff is amazing- I love water and drink a lot of it but I don't really do the sweet flavored drinks...this has just enough flavor without being overpowering. I take one to the gym every day and it is so tasty and calming...you won't like it if you are not a big mint fan but for me, it was a gem of a find!!"
1433,We use this seasoning product in most everything that needs a vegetable touch.  It enhances dishes from eggs to salads.  It was not found in our local store .  It was almost an after thought to look for to online.  There it was!  It is also very convenient to have it delivered in the four pack.  It comes just as we are using the last little bit.
1434,"Several cans I received were dented, three were so severely dented, I had to throw them out.  I work in food safety, so I know the possible dangers of dented cans."
1435,I received it today. Only got 126 inside. Not 150 as it is marked on the tag. The taste is all right.
1436,"Although these are way more fun than regular white or yellow corn chips, they taste pretty much the same as any other color of natural corn tortilla chips.  These chips are blue because the type of corn they are made from naturally grows blue - there's no blue dye here!  Garden of Eatin' is my favorite brand for chips, because they put so much  thought into all their products, from the organic corn to the cold-pressed oils.  They even use filtered water!<br /><br />The chips I got were all really fresh, delicious, and crunchy, except for one bag out of 12, which had a good date, but tasted a bit stale.  To my surprise, not many of the chips got broken during shipping, although I'm not sure I'll be that lucky to get unbroken chips everytime I order these.<br /><br />If you've never tried these, I suggest getting just one bag from a local store, and wait to order from here till you know you like them.  If you already know you like blue chips, get them here, as this price is unbeatable."
1437,"It's always good to have a Jack Link's in my pocket in case I get a bit hungry. And, it's better to eat this than a hamburger"
1438,"Supposedly increases milk production? Yeah, I didn't see a difference after drinking this for a good 3+ weeks. Aside from that, it doesn't smell or taste very good. Very herbal medicine-like."
1439,"Boxes arrived in new condition in a nifty sealed amazon cardboard box with a label ""ready to ship"".  Looked all good, until I read the Best if used by date on the bottom of each of the boxes - would have been nice to know I was getting a convenient retail price on expired product.  Code on bottom is NOV0912800  09:18, not an expert but it would appear that this stuff is 2 years out of date."
1440,Have used this salt for many many years and everyone just loves it.  Also put it in gift baskets for friends and family.  If you haven't yet............do try it.
1441,"I purchased this tin of saffron for my wife's birthday. Yes, a birthday present. She happens to be a professional chef who always knew the value of high quality ingredients.  Using top-quality -- and yes, this is the best you can buy -- saffron enhances so many spanish foods, risotto and a whole lot of other dishes. You always dissolve saffron in a liquid so that the intense aroma infuses the entire dish and mixes in subtle ways with other flavors. And since you need so little, this tin will last for years. There is simply no substitute. If this is your first purchase of top quality saffron, you will be impressed and wonder how you could ever cook without."
1442,"For those who want to try cooking in the Mayan style this spice is a must for making Cochinita Tacos.  It's a tough seed to work with, but a coffee grinder makes short work of turning it into a powder for marinating pork."
1443,I am so happy I read the reviews here! I had bought a red curry paste from another brand before and I was very disappointed with the results but then I started reading the reviews here and decided to give this one a try and I am thrilled I did. This paste has very good flavor and I feel that the heat is just enough for me and my husband. I absolutely loved it and I am happy that I got the 12 pack. Now I am set for a while.
1444,"Here's another 4.4lb bag of dog food that does not represent the normal ""regular"" price. At that standard per pound price, you could be buying the juiciest prime filet mignon and get to watch man's best friend become even a better best friend! Wake up Amazon!"
1445,"I chose this as my son's first food.  He loves it.  It was a great transition from being nursed, to mixing expelled milk with this cearal."
1446,"This sauce really does pack a punch. I always considered myself to have a high heat tolerance, but this stuff really puts it to the test! The primary culprit is obviously the Bhut Jolokia (Ghost Pepper), but Ashley Foods added some Habanero and Peri Peri peppers for good measure.<br /><br />This also contains evaporated cane juice which adds a sweetness that is almost fruity or reminiscent of BBQ sauce. Combine all this with the garlic, vinegar, and other spices and you have an exceptional combination that briefly offers you a wonderful taste, and then it steals your soul with a raging inferno of hellfire.<br /><br />If you're looking for something really hot that actually has good flavor as well, then this is the best bet for your money. You could always go with something like pure capsaicin, but you'd be missing out on good flavor.<br /><br />The price might seem steep for a 5 fl ounces, but you likely won't be going through this bottle as quickly as you would some tabasco sauce."
1447,"I got a pretty good deal on these locally with a store sale and coupon. I did not enjoy it very much. The broth was very salty/garlic-y and I could hardly see any chicken in the cup. The lip on the container makes it hard to get everything out. These would be okay for kids. For my money <a href=""http://www.amazon.com/gp/product/B000EFBMD0"">Progresso Soup, Chicken Noodle Soup, 15.25-Ounce Microwavable Bowls (Pack of 6)</a> are better."
1448,i totally love this protein shake there is no weird taste no after taste NO shakes and it actually keeps me full and gives me great energy!!! i def recommend to everyone!!!!
1449,"To give some background, I'm an espresso geek.  I like my coffee bold, and strong, so trying to drink normal coffee (especially of the instant variety) is like giving a whiskey junkie a glass of Kahlua and milk.  So with that in mind, take note that my definition of ""weak"" may be very different from yours.  Anyway, let me start with my review.  Taster's Choice is meant to be made in 6oz portions.  I filled my standard sized 12oz (The Who!) coffee mug around 3/4 to the brim, so I may have over filled it a bit. (READ UPDATE BELOW)  That being said, Taster's Choice would only provide you a half-full mug of coffee if you followed their instructions properly.  The coffee tasted similar to what you would find at a cheap gas station.  It can only be described as similar to Crystal Light packets, in that your water doesn't exactly taste like Gatorade, but it surely doesn't taste like water either.  I tried adding a few tablespoons of flavored coffee creamer to see if it improved the taste, and it did in a big way.  The flavor was then similar to what you would receive out of those automated ""cappuccino machines"" that you would find in gas stations and breakrooms. (You know, the ones that tell you to only fill up the cup 3/4 of the way because the machine keeps flowing coffee even after you let go of the button?)  If you have ever tasted the ""cappuccino"" out of those machines, you'd know that it isn't anything like cappuccino, but it doesn't taste horrible.  It's drinkable, and has a sweet kick to it.<br /><br />Conclusion:<br />I'm sure that using two packets would improve the flavor of a 3/4 full mug greatly, so I'm probably going to try that next time around and update my review. (READ UPDATE BELOW) I'm sure that some people would find this useful as a ""fast food coffee"".  It's not great, but it's not bad either, and it provides a little jolt for someone who doesn't have the time to brew a whole pot.<br /><br />*UPDATE*:  I have now tried it with two packets in 8 ounces of water, and it is MUCH better.  It now tastes like quite a bold flavorful coffee.  Highly recommend that you use two packets for each cup."
1450,"I have loved Kettle Brand Sea Salt and Vinegar chips since the first time i tried them.  The fact that i was able to find them on-line for such a great price, was wonderful.  I would definitely make the purchase again.  THey are a quick and simple snack for lunch and it goes great with my cold sandwich."
1451,"I bought both the Blueberry and Strawberry versions of these through Amazon's Subscribe & Save Program. I shop at Costco a lot and have been disappointed that they only carry the Frosted variety of toaster pastries. I refuse to pay the grocery store prices for a treat like this so, for years, I've done without. Both Strawberry and Blueberry are good but I find the Blueberry to have more fruit flavor than the Strawberry. Either way, if you're like me you'll enjoy this product and, the Amazon Subscribe & Save price is quite reasonable too!"
1452,"GREAT COOKING OIL AND GREAT FOR DIPPING, ALTHOUGHT I SHOULD HAVE BOUGHT IT FROM GRISTEDES, MUCH LESS AND MUCH FASTER SERVICE SO I HEAR. BOUGHT IT FROM ANOTHER SELLER AND PAID ALMOST 2X THE AMOUNT WILL CHECK PRICES NEXT TIME (AND LISTEN TO MY DAUGHTER)"
1453,"The bags come wrapped 4 in a little packet, 10 packets to a box, 6 boxes total.  The packets can easily travel with you.  One also helps me see exactly how many cups of tea I've had in a day!  Start out with one packet opened in the AM.  When it is finished, I know I've made 4 cups of tea."
1454,The Numi Mint tea is very good.  It has a nice flavor.  In the summer we mix it with other herbal teas and water.  We put the container in the sun to sun brew.  It is very good.
1455,"I don't have a lot to say.  It is good, if not great, and the price is reasonable.  I don't taste any vanilla, but that's not a biggy to me.."
1456,"When I recently took a trip to NYC, I bought a pack of these at a market. They have that great balance of tartness and sweetness along with a great chewiness that us gummy connoisseurs seek. I bought five bags when I returned home, as these are not sold in the area where I live. I gave a couple bags away. The others did not last long."
1457,"Coffee is excellent. I always combine 2 different 8 o'clocks when I grind. Hower, I bought this on ""subscribe and save"". 2nd shipment was $7.30 more expensive than previous.<br />I was also not ready for another bag - but shipment notification came when I was out of the country.<br />I received a 40 oz. bag NOT 33 oz."
1458,Works amazingly. My friends and I volunteered and donated cat toys for a local animal shelter. We put stuffing and cosmic catnip in socks. The cats loved to play with it. The smell is not horrible like some catnip either.
1459,"First, let me tell you, I am a ""mom"" and not a typical consumer of Pop Tarts.  My kids, love them, but I have a hard time buying them when I see the sugar and calories. However, these are FANTASTIC!  When I looked in the pantry and saw we only had one package left, I had to try them with a cup of coffee. I was incredibly happy with the sweet crispy morsels!  Just enough to satisfy a sweet tooth and not enough to break the scale tomorrow morning!  I am really happy and just came to Amazon to order the chocolate. I think I may have to just hide this stash from the kids!  I hope you can keep my secret!!!"
1460,"I have gotten this product before a number of times, as we use it frequently. It is so much better price-wise than the markets. I only gave it 4 stars this time, because of the packaging. It was sent via the Post Office, before it was always UPS. Somewhere along the route, the box practically fell apart and had to be taped up by the postal carrier on our route. Also, a couple of cans were dented in pretty good. Of course, it's hard to tell who was faulty here, but I won't stop buying the soup. A good deal!"
1461,"I have looked for the Sardines and Mackerel for weeks.... My cat Ramses was not happy... I was so pleased to find this available!  The kitty food came quickly and was much appreciated!  Ramses wants to personally thank you for carrying his favorites... meow, meow, MEOW!!"
1462,I have tried several gluten free brownie mixes that are super easy to make and really pretty darn good so my opinion of these brownies is influenced by the fact that I have made some great mixes. These are really good and convenient because they are ready-made but I would say that my ultimate favorite is the Gluten Free Pantry mix. I would compare these more with the Trader Joe's gluten free mix which is really good as well.
1463,"okay, it's true our dog was used to the few stale varieties of dog food available in our remote location, but I still think it's the quality of this dog food she likes.  At any rate, she eats it all immediately.  She looks better, her hair is shinier, and she seems to feel better.  So if she were voting I think she'd give it a paws-up."
1464,"My little boy (3 1/2 yrs. old) just loves Goldfish. I'm not sure where he got it, perhaps the grandparents. In any case, I have trouble with him in a little store I go to because they have a display of Goldfish cartons and we can't get by it without getting one. Any of you with kids probably understand. Well, now he loves Goldfish Colors and that probably also goes back to Grandpa. In any case, now Goldfish aren't good enough and Goldfish Colors are the only thing that will do. Fortunately, the store has some 6.6-ounce bags of them, so every time we're there we have to pick one up. Oh well, I enjoy Goldfish too so there's never any problem in getting rid of them. Personally, I grew up on Cheezits, but I like Goldfish just as well. Now I notice the Goldfish bag has a little notice in the upper left-hand corner that specifies the colors are from natural ingredients. That's good as I don't trust all dyes.<br /><br />Gary Peterson"
1465,I have 2 large dogs who I allow to lick this every day. They seem to like it.  It must smell and taste good to them.  I like giving this to them as a treat for doing something good instead of something with a higher calorie content.
1466,My husband uses this sugar since he is a diabetic.  He likes it in his coffee and tea.  It dissolves easy.  It is better than using anything that isn't aspartame.
1467,"We recently bought a snow cone machine for my daughter.  I wanted to join in the fun, but I have been on a low-carb diet for almost 2 years.  I noticed there were a number of manufacturers making sugar-free snow cone syrups, but I chose Jelly Belly because I assumed that they would make a great-tasting syrup.  I was not dissappointed.  This one tasted as good as I have ever tasted a sugar-free product.  I have since ordered several other of their sugar-free flavors.  Thank you Jelly Belly."
1468,"I was a little skeptical after looking at the list of ingredients, but I decided to give this tea a try anyway.  I'm glad I did.  It's a delicious, sweet-tasting blend that's good both hot and iced.  I went through about a box a week; everyone I've served it to has enjoyed it."
1469,"Glucerna Bars of all flavors are super for us who have Diabetes, or even for those who are trying to watch their calories."
1470,"Agree with previous review; not much of a oatmeal cookie.  Cannot really taste or see much oatmeal; however, a really good tasting chocolate chip cookie. So not all bad. Gave 4 stars because took a long time to receive. Was concern about the heat with oatmeal and the chocolate chips. If wants a good tasting chocolate chip cookie with a little taste of oatmeal, this is your cookie."
1471,"I love Sesmark Rice Thins!  I have intolerances to wheat, dairy, soy and eggs.  So, finding a cracker that does not contain either of these are hard.  So, I found out about Sesmark about 5 months ago and every since then, I have been hooked.  So, if you have intolerances but still crave something crunchy, slightly salty, then the Sesmark Rice Thins are for you."
1472,I love these. The Hazlenut are my most favorite flavors. They have this outer chocolate shell and as you bite into the round chocolate sphere this yummy creamy chocolaty hazlenutty flavor comes out. This is a more expensive chocolate than that plain chocolate bars that you can buy at the check out aisle in the grocery store; but so worth it.
1473,This is the only treat my dogs like.  We have been happy with the quality and manufacture of of the Chewy Louie dog bones.
1474,"I buy these bars 5 boxes at a time.  I feed them to my 1 and 3 year olds for a night time snack or an on the go 'get by until supper' snack.<br /><br />They love many of the flavors, but banana and peanut butter & jelly are their favorites (well...according to my 3 year old...b/c 1 year old can't talk and eats everything!).  My favorites are banana and lemon.<br /><br />I use them as part of my diet routine.  I keep one with me at all times so that I never get tempted to hit a drive thru.<br /><br />These bars are not exactly a Ho-Ho or Twinkie, but they do taste great and are a good manageable healthy treat to your day!!<br /><br />I tell everyone about them!  Their limited ingredients make me feel good about giving them to my kids!"
